	0.0003523312625475228
D6	0.16147172383982422
D7	0.09000162450796712
d	0.0016162480901300014
D8	0.05992592981178935
D9	0.051223504367476025
W6	0.03098285838252357
D11	0.03997552884101907
L3	7.593140831268705e-05
L6	0.024349415093514626
L8	0.028831003610718664
L7	0.020317457694877028
L2	3.6258371652857094e-05
W7	0.0180235602819957
W4	0.004423155602013007
W5	0.006203121973431536
D10	0.022785106245692965
W8	0.016527418371186653
L9	0.01622065285836638
D4	0.012267075680821415
L1	3.567257887346744e-05
D5	0.01662371221620429
L10	0.014653206571971777
L5	0.0045257078107671656
D1	4.3391374536132406e-05
L4	0.0016124656962339529
L11	0.006388551537284126
D3	0.00015555366535183364
W9	0.0055071733446270255
D2	3.9989469807146134e-05
L12	0.0036982353530621848
E	0.0019577216709421863
W10	0.002397988836858822
L13	0.0017585075180262255
L14	0.001048945017923436
S1	2.2083155774629414e-06
W11	0.000556829516303807
L15	0.0005075657117291632
K4	3.806795381438091e-05
W12	0.0004010461680772348
K3	5.452752297062347e-06
K6	0.00026672352174118667
S5	0.00020581664777465092
K8	0.00018712675032795962
D12	0.00015631062719154327
S2	2.9054145145895774e-06
K7	0.00011551247685004287
W13	0.00012400629110811794
K5	2.4702898719669575e-05
K10	0.00010455296729679079
S3	4.05545558451525e-06
S4	3.080765122452948e-05
S6	6.125574417983372e-05
W14	4.784487583816893e-05
D13	2.933726650030527e-05
K9	2.79856114760277e-05
S8	2.2475872895284148e-05
D14	2.0143474007444e-05
D15	1.8835652743848588e-05
S7	1.6357348421136716e-05
W15	2.051767849063017e-05
K12	1.9284435817675622e-05
S12	1.4809336693181758e-05
S10	1.764448672469715e-05
K11	1.5105513069093787e-05
S15	1.2714193431706457e-05
S13	1.1023600079274119e-05
S14	8.144102240866024e-06
K13	9.440894413674029e-06
K15	9.386754238782495e-06
S9	1.1389317955256412e-05
S11	1.0162938864361013e-05
K14	9.459816423635639e-06
dD4	0.030842447791801432
dD3	0.011008788094111915
dD2	0.009437233381702555
L3D4	0.008696512820851536
L3D3	0.00611152796909754
L3D6	0.0065049127139499875
D1S1	1.4284851526450155e-06
L2D6	0.0061250524030152685
L2D4	0.005008747581281084
W6D2	0.005271711311981094
L3d	0.0016213242217166556
W4D4	0.005012044616884063
L6D2	0.004307606928333608
L2d	0.000741590466731132
W5D2	0.003923773182306025
L2D7	0.003959656295624712
W5D3	0.0038116943575889155
W6D1	0.00338634809624894
W6D3	0.003465448405449573
W4D2	0.0030738467209664123
L1D6	0.00323989842419506
L1D1	1.4201907407902552e-05
L1D7	0.0032194496226050314
D4d	0.0032603924717363834
W4D3	0.002983197917540318
W5D1	0.002856494064229329
L4D4	0.002897389681842574
D3d	0.0027351225591079353
L7D1	0.0027624037614289217
W7D1	0.002664971745133266
L6D1	0.0025154885588508256
L5D3	0.00246198463040643
L5D2	0.0024251644544667004
W6D4	0.0024103702771224767
L3D5	0.002444507044086668
W5D4	0.0023660079418190735
W4d	0.001291635238890189
dD5	0.0021653126719316427
